experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.05,10.0,1.0,276,38,18962,724,0.276,0.002,0.998,0.724,0.8789808917197452,0.276,0.4200913242009132,0.9619,0.0552,0.9453322368421052,0.6435029883148677,0.02760683418473444,0.10152214820740464,0.9240838994857989,,tuned_on_400_samples
exp1,synthetic,0,XGBoost,nocorr,0.2,0.05,1.0,10.0,928,4513,14487,72,0.928,0.2375263157894737,0.7624736842105263,0.07199999999999995,0.17055688292593274,0.928,0.288154013351964,0.77075,0.26165,0.9453322368421054,0.6435029883148677,0.043688610196113586,0.151684293587752,-2.3025850929940455,,fixed_threshold
exp1,synthetic,0,XGBoost,offset,0.2,0.05,1.0,10.0,805,1624,17376,195,0.805,0.08547368421052631,0.9145263157894736,0.19499999999999995,0.3314121037463977,0.805,0.4695246427529892,0.90905,0.1787,0.9453322368421052,0.6435029883148677,0.02760683418473444,0.10152214820740464,-2.3025850929940455,,offset_corrected
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.05,1.0,10.0,822,1754,17246,178,0.822,0.09231578947368421,0.9076842105263158,0.17800000000000005,0.3190993788819876,0.822,0.4597315436241611,0.9034,0.1767,0.9453322368421052,0.6435029883148677,0.02760683418473444,0.10152214820740464,-2.4176307807090556,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.01,1.0,1.0,146,886,18914,54,0.73,0.044747474747474744,0.9552525252525252,0.27,0.14147286821705427,0.73,0.237012987012987,0.953,0.047,0.950475505050505,0.4330229956804921,0.03632031760462977,0.13107036268966524,0.0,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.01,1.0,1.0,43,15,19785,157,0.215,0.0007575757575757576,0.9992424242424243,0.785,0.7413793103448276,0.215,0.3333333333333333,0.9914,0.0086,0.950475505050505,0.4330229956804921,0.0072345150322273045,0.03136465657547707,0.0,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.01,1.0,1.0,49,17,19783,151,0.245,0.0008585858585858586,0.9991414141414141,0.755,0.7424242424242424,0.245,0.3684210526315789,0.9916,0.0084,0.950475505050505,0.4330229956804921,0.0072345150322273045,0.03136465657547707,-0.19634169008024482,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.01,10.0,1.0,72,62,19738,128,0.36,0.0031313131313131315,0.9968686868686869,0.64,0.5373134328358209,0.36,0.4311377245508982,0.9905,0.0374,0.950475505050505,0.4330229956804921,0.03632031760462977,0.13107036268966524,2.302585092994046,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.01,10.0,1.0,5,0,19800,195,0.025,0.0,1.0,0.975,1.0,0.025,0.04878048780487805,0.99025,0.00975,0.950475505050505,0.4330229956804921,0.0072345150322273045,0.03136465657547707,2.302585092994046,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.01,10.0,1.0,49,17,19783,151,0.245,0.0008585858585858586,0.9991414141414141,0.755,0.7424242424242424,0.245,0.3684210526315789,0.9916,0.01605,0.950475505050505,0.4330229956804921,0.0072345150322273045,0.03136465657547707,-0.19634169008024482,,tuned_on_400_samples
